FECHA_CORTE,UUID,PERIODO_INGRESANTE,DEPARTAMENTO,PROVINCIA,DISTRITO,TIPO_ADMISION,ESCUELA,SEXO
20260527,$2b$12$XqkxI0zlGCJU27LSWvX2YejN9YZiCQP066oB5xs5EOWuAU9zlEgIu,2025-2,HUANCAVELICA,HUANCAVELICA,IZCUCHACA,CEPRE ADMISION,CONTABILIDAD,FEMENINO
20260527,$2b$12$b8EMM6WRFFMf9ePaa2mUWetWiSO1kzch5pY4IOmOAYWZ5wMe7UyDS,2025-2,JUNIN,HUANCAYO,EL TAMBO,NORMAL ORDINARIO,CONTABILIDAD,FEMENINO
20260527,$2b$12$A86uMuFWyrDFTvSN.TRGvudDKG44q1baJi2qyLIw6of714fz5d15y,2025-2,JUNIN,HUANCAYO,CHILCA,CEPRE ADMISION,CONTABILIDAD,FEMENINO
20260527,$2b$12$chyDlgnfVdxHV9UIadxF/Om9IwGvyPgrkmMYlOU5cH1fmwY6jwGmm,2025-2,JUNIN,HUANCAYO,HUAYUCACHI,NORMAL ORDINARIO,CONTABILIDAD,MASCULINO
20260527,$2b$12$phWJWqOrD6/grfcnm2sBXORy3simOIu2OtfMlADO4WlmdfLMqoIWG,2025-2,JUNIN,HUANCAYO,SAPALLANGA,NORMAL ORDINARIO,CONTABILIDAD,MASCULINO
20260527,$2b$12$Ka89.k5MHbbl2EZLwCJwsOoTw6w9Y6YM0/N3RM3UJVefDm5EnUuF6,2025-2,JUNIN,HUANCAYO,EL TAMBO,NORMAL ORDINARIO,CONTABILIDAD,MASCULINO
20260527,$2b$12$wBPFnyux8q0iX3YnInrxd.jmDVmuzF0xgaHnbnQQ1wUNsY1f0hA4S,2025-2,JUNIN,HUANCAYO,CHILCA,NORMAL ORDINARIO,CONTABILIDAD,MASCULINO
20260527,$2b$12$J9XjPcgG457P58FVaCYSCOb3DHrNbSR5AgB2TMCL1V/v6MTLdVa7i,2025-2,HUANCAVELICA,HUANCAVELICA,ACORIA,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$r2qYUtrciqUqbYw9WSrPH.TCvficzOE.fMZ5PDHp86WPuHd3PonYi,2025-2,JUNIN,HUANCAYO,HUALHUAS,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,FEMENINO
20260527,$2b$12$uWkDBP6IUUEqDoxk.Mdc9e5ZQfFOnxdS8UmbtTMZgAgunMi7nBTbS,2025-2,JUNIN,HUANCAYO,CHILCA,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$u.PdVf5.CpfvPD//8ctYB.uxKHrYIHmilb/kDTkLi4rUXRP2E/veG,2025-2,JUNIN,HUANCAYO,HUANCAYO,SEGUNDA CARRERA,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$PDWd2lx0/fjw3E0weh8mIuRZBPoTdPyzNRRzZHdZiEDtE73HI4sTi,2025-2,JUNIN,HUANCAYO,HUANCAYO,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$/YX1zWuMtHw.ObMXvLz48ey6sHnmzyrVfBpptX8z5Dnq3muOD46HO,2025-2,JUNIN,HUANCAYO,HUANCAYO,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,FEMENINO
20260527,$2b$12$Y5KCraXCgaDFneRGu0ub6eHtc0MyUYRH11sWPhewcnTs6qwKFXCs2,2025-2,JUNIN,HUANCAYO,SAÑO,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$x1gaL734gbMxmnfA6IYf4eGa0897Z.JG74iQKz32S4N5jfmIgHSbm,2025-2,HUANCAVELICA,TAYACAJA,ACOSTAMBO,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,FEMENINO
20260527,$2b$12$ucK08GCFYNc/ebkTgPPfPOED/N2i8Nzl2GXpOkh4Najp5BAlE2vI.,2025-2,JUNIN,JAUJA,LLOCLLAPAMPA,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,FEMENINO
20260527,$2b$12$gBCTOu6oEDYDBbH0eAcKhe026/gswKv/J4j1QeSfJtL/QFbsABcFu,2025-2,JUNIN,HUANCAYO,HUANCAYO,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,FEMENINO
20260527,$2b$12$vQIuQw0ZRZxrHnYuoRhYMeVdnFhy07DYWQEN0eEvFQ3ymXv3zLDva,2025-2,HUANCAVELICA,TAYACAJA,SAN MARCOS DE ROCCHAC,HIJO DE COMUNEROS,DERECHO Y CIENCIAS POLÍTICAS,FEMENINO
20260527,$2b$12$z7k/X4BIdBni9t/Ki4yb0uq15/eY2jcLf.g6HbH8S5MSOMdwKj3qC,2025-2,JUNIN,HUANCAYO,PILCOMAYO,CEPRE ADMISION,DERECHO Y CIENCIAS POLÍTICAS,FEMENINO
20260527,$2b$12$lxWlXqxFrmKAKZxBSugo7Op4S0n7M1DR8Eab0ZlWq8AANQRsJANxW,2025-2,JUNIN,HUANCAYO,EL TAMBO,CEPRE ADMISION,DERECHO Y CIENCIAS POLÍTICAS,FEMENINO
20260527,$2b$12$oz8fiN/oB.oT/T/I6xMUkO71aLVGD5OST6UlZIoUc4cBAYfhb.bKG,2025-2,JUNIN,HUANCAYO,CHILCA,CEPRE ADMISION,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$hn/yKzW1IEZvIWQ5NanBQ.4tvhu3O2WygdoGHkw3lmOBB4Afe4.Ni,2025-2,JUNIN,HUANCAYO,HUANCAYO,CEPRE ADMISION,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$rtxhmFJBwSC0t7f55Ii9I.JVG3BSCKI62C7yxD4IxiMBIKCTridca,2025-2,JUNIN,HUANCAYO,HUANCAYO,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$Iryq/yfQP2CEgJy1m7uJGuqKk0qOUVxp09QMR.cy6cYq8WKLOnRBe,2025-2,JUNIN,HUANCAYO,EL TAMBO,PRIMEROS PUESTOS,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$U8YouJgSPPErcQGuwuq4P.8wEODxB5/an98MEmYSSgO1eqWEUhAN6,2025-2,JUNIN,CHUPACA,SAN JUAN DE ISCOS,HIJO DE COMUNEROS,DERECHO Y CIENCIAS POLÍTICAS,FEMENINO
20260527,$2b$12$avPiuZZWaDLBbkpmFFVnUuo6bSpHC3fKyqg8mQGXh0INnyDgPkmZW,2025-2,JUNIN,HUANCAYO,EL TAMBO,CEPRE ADMISION,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$u35rQHrujx9jygWt8Qi9RuVd22l4JthDmxg.4QzL4yhxs1GQgo7eO,2025-2,JUNIN,HUANCAYO,CHILCA,AFECTADOS POR LA VIOLENCIA SOCIAL,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$1HCEzvzV0Lr.nuU7Zi17jufOke6iECZd9eJbH7Nyz3jYS7nyto2Bq,2025-2,JUNIN,HUANCAYO,CHILCA,CEPRE ADMISION,DERECHO Y CIENCIAS POLÍTICAS,FEMENINO
20260527,$2b$12$O1/vKJrZS97ulTYIuqjY6uFTx7jGek4fREYoqugUACqFqIpYvopjK,2025-2,JUNIN,JUNIN,JUNIN,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$6pbPBcfUDcrtAx6.lPuobukt2XiOWottJPoYKeRrkOGzy/BA9scla,2025-2,LIMA,LIMA,SAN MARTIN DE PORRES,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,FEMENINO
20260527,$2b$12$MeMYqRE44Q9zzX6oSb.2DuU9oZLCIeBM16GT8WrGidDyLoS5OyU4S,2025-2,JUNIN,HUANCAYO,HUANCAYO,CEPRE ADMISION,DERECHO Y CIENCIAS POLÍTICAS,FEMENINO
20260527,$2b$12$V4S0a6c1JwrNVPuS5xjXS.aVflC0ZDbwoeStthdBiMV0L.TNdY54q,2025-2,JUNIN,HUANCAYO,EL TAMBO,CEPRE ADMISION,DERECHO Y CIENCIAS POLÍTICAS,FEMENINO
20260527,$2b$12$sU9WI89bdmV8MgUJrGVp8uBVZ9B55k8nm1dTVsjz4ulXdK.4QXxlq,2025-2,JUNIN,HUANCAYO,EL TAMBO,CEPRE ADMISION,DERECHO Y CIENCIAS POLÍTICAS,FEMENINO
20260527,$2b$12$6e6nM8acETViqvlYzZt9..XQjjzazxv5NTV94TmXfKNr5T4x1o/5a,2025-2,JUNIN,HUANCAYO,HUANCAYO,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$R3h41EJK0IrZ6nVk8i4ekOm2Ud0IVE7CSAWQ9vuaH0yKE1K2xOfIu,2025-2,JUNIN,HUANCAYO,HUANCAYO,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$5pkdAFwc.FoXZfET/jvHkOuM0ePA6.ugQYtb6ebuBoHteVZ.O0Sle,2025-2,JUNIN,HUANCAYO,PILCOMAYO,CEPRE ADMISION,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$BN6p5CpEEV2304/yK1M7Jea3ibB/FvbWaXyV.RY8APhrbhNIK66Pq,2025-2,JUNIN,HUANCAYO,CHILCA,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,FEMENINO
20260527,$2b$12$9t0ep9vSkP8GT5crgsY3.OvJwlWPhY5NbrTjcH357WfDbJKEzHcXG,2025-2,JUNIN,CHANCHAMAYO,PICHANAQUI,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$Hhv50YFzPzQoCkuhzr0bquil4ENzout7j7Q.c/EjE8.tAyRwBEife,2025-2,JUNIN,HUANCAYO,CHILCA,CEPRE ADMISION,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$6tsCggt9kp9B23CkU.mIy.xFOrwKJyZL1UBeUANyewb6qgAfDAL6a,2025-2,AYACUCHO,HUAMANGA,JESUS NAZARENO,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,FEMENINO
20260527,$2b$12$CZJehz7aHAcFlvgqgEigK.IEoMzxwnBPJilsn.VLDCmvzdY5gRgQG,2025-2,JUNIN,HUANCAYO,HUANCAYO,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
20260527,$2b$12$DI0Z6dO8KimhyxJkDrzhtuAEAmqv7aie1lge5LvQcujrcUZwFvpgu,2025-2,JUNIN,HUANCAYO,EL TAMBO,NORMAL ORDINARIO,DERECHO Y CIENCIAS POLÍTICAS,MASCULINO
